Atorvastatin,Sertraline,High,Severe respiratory depression possible
Amoxicillin,Metformin,Moderate,May cause moderate kidney stress
Tramadol,Levothyroxine,High,Severe respiratory depression possible
Morphine,Losartan,High,Dangerous increase in blood potassium levels
Alprazolam,Losartan,Moderate,Increases risk of bleeding
Aspirin,Lisinopril,Moderate,May cause moderate kidney stress
Alprazolam,Azithromycin,Moderate,May cause moderate kidney stress
Doxycycline,Clopidogrel,Moderate,Increases risk of bleeding
Codeine,Furosemide,High,Severe respiratory depression possible
Lisinopril,Losartan,High,Risk of life-threatening arrhythmia
Digoxin,Insulin,Low,Mild gastrointestinal discomfort possible
Omeprazole,Amlodipine,Moderate,Increases risk of bleeding
Fluoxetine,Insulin,High,Risk of life-threatening arrhythmia
Sertraline,Amoxicillin,High,High risk of kidney failure
Amoxicillin,Amlodipine,Low,Mild gastrointestinal discomfort possible
Levothyroxine,Ranitidine,High,Risk of life-threatening arrhythmia
Sertraline,Losartan,High,Severe respiratory depression possible
